Title,Cites,Year,Reference,Publisher,Tag,Link,Description
Diagnosis of diabetic retinopathy using machine learning techniques,96, 2013,"R Priya, P Aruna - ICTACT Journal on soft computing, 2013 - core.ac.uk",core.ac.uk, ICTACT Journal on soft computing,https://core.ac.uk/download/pdf/25558366.pdf,"… In this paper, to diagnose diabetic retinopathy, three models … PNN), Bayesian Classification
and Support vector machine (SVM) … for classification of the disease diabetic retinopathy using …"
Diagnosis of diabetic retinopathy using machine learning classification algorithm,73, 2016,"K Bhatia, S Arora, R Tomar - 2016 2nd international conference …, 2016 - ieeexplore.ieee.org",ieeexplore.ieee.org, 2016 2nd international conference …,https://ieeexplore.ieee.org/abstract/document/7877439/,"… case of diabetic retinopathy among the diabetic patients and is … to detect early symptoms of
diabetic retinopathy with ease. The … used for diagnosis and detection of diabetic eye disease. …"
Deep learning based computer-aided diagnosis systems for diabetic retinopathy: A survey,155, 2019,"N Asiri, M Hussain, F Al Adel, N Alzaidi - Artificial intelligence in medicine, 2019 - Elsevier",Elsevier, Artificial intelligence in medicine,https://www.sciencedirect.com/science/article/pii/S0933365718307607,"… designing and training deep neural networks for DR diagnosis. The remainder of the paper
is organized as follows: automatic detection of DR, types of lesions, DR stages, grading of DR…"
Deep-learning-based automatic computer-aided diagnosis system for diabetic retinopathy,171, 2018,"RF Mansour - Biomedical engineering letters, 2018 - Springer",Springer, Biomedical engineering letters,https://link.springer.com/article/10.1007/s13534-017-0047-y,"… Detection and classification of diabetic retinopathy using K-means clustering and fuzzy
logic. In: 2015 18th international conference on computer and information technology (ICCIT), …"
Automated identification of diabetic retinopathy using deep learning,908, 2017,"R Gargeya, T Leng - Ophthalmology, 2017 - Elsevier",Elsevier, Ophthalmology,https://www.sciencedirect.com/science/article/pii/S0161642016317742,"… -driven deep learning algorithm as a novel diagnostic tool for automated DR detection. The
algorithm processed color fundus images and classified them as healthy (no retinopathy) or …"
Diagnostic assessment of deep learning algorithms for diabetic retinopathy screening,144, 2019,"T Li, Y Gao, K Wang, S Guo, H Liu, H Kang - Information Sciences, 2019 - Elsevier",Elsevier, Information Sciences,https://www.sciencedirect.com/science/article/pii/S0020025519305377,"… In this paper, we assessed the state-of-the-art deep learning models for DR classification,
DR lesion segmentation, and DR lesion detection. To conduct this assessment, we compiled a …"
Deep learning–based algorithms in screening of diabetic retinopathy: A systematic review of diagnostic performance,68, 2019,"KB Nielsen, ML Lautrup, JKH Andersen… - … Retina, 2019 - Elsevier",Elsevier, … Retina,https://www.sciencedirect.com/science/article/pii/S2468653018304871,"… classification using deep learning may be a suitable new screening tool that could improve
diagnostic … deep learning in classifying full-scale DR in retinal fundus images of patients with …"
A deep learning ensemble approach for diabetic retinopathy detection,218, 2019,"S Qummar, FG Khan, S Shah, A Khan… - Ieee …, 2019 - ieeexplore.ieee.org",ieeexplore.ieee.org, Ieee …,https://ieeexplore.ieee.org/abstract/document/8869883/,"… Normally, highly trained experts examine the colored fundus images to diagnose this fatal
… for training and testing respectively. Diabetic retinopathy has five (5) stages to classify the …"
Diabetic retinopathy detection through deep learning techniques: A review,125, 2020,"WL Alyoubi, WM Shalash, MF Abulkhair - Informatics in Medicine Unlocked, 2020 - Elsevier",Elsevier, Informatics in Medicine Unlocked,https://www.sciencedirect.com/science/article/pii/S2352914820302069,"… unlike computer-aided diagnosis systems. Recently, … deep learning to detect and to classify
DR. The current work covered 33 papers which used deep learning techniques to classify DR …"
Deep learning‐based detection and stage grading for optimising diagnosis of diabetic retinopathy,11, 2021,"Y Wang, M Yu, B Hu, X Jin, Y Li… - Diabetes/Metabolism …, 2021 - Wiley Online Library",Wiley Online Library, Diabetes/Metabolism …,https://onlinelibrary.wiley.com/doi/abs/10.1002/dmrr.3445,"… method for identifying referable diabetic retinopathy (DR), defined as moderate
nonproliferative DR and above, using deep learning‐based lesion detection and stage grading. …"
A machine learning ensemble classifier for early prediction of diabetic retinopathy,64, 2017,"S SK - Journal of Medical Systems, 2017 - Springer",Springer, Journal of Medical Systems,https://link.springer.com/article/10.1007/s10916-017-0853-x,"… retinal features for DR disease diagnosis and early detection using Machine Learning and
Ensemble Classification … Evaluation of machine learning algorithms for DR diagnosis was …"
